year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,NEVADA,NV,CHURCHILL,32001,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3048,12881,20220315,TOTAL
2020,NEVADA,NV,CHURCHILL,32001,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,282,12881,20220315,TOTAL
2020,NEVADA,NV,CHURCHILL,32001,US PRESIDENT,OTHER,OTHER,184,12881,20220315,TOTAL
2020,NEVADA,NV,CHURCHILL,32001,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,9367,12881,20220315,TOTAL
2020,NEVADA,NV,CLARK,32003,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,521777,972308,20220315,TOTAL
2020,NEVADA,NV,CLARK,32003,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,8755,972308,20220315,TOTAL
2020,NEVADA,NV,CLARK,32003,US PRESIDENT,OTHER,OTHER,10967,972308,20220315,TOTAL
2020,NEVADA,NV,CLARK,32003,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,430809,972308,20220315,TOTAL
2020,NEVADA,NV,DOUGLAS,32005,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11570,34117,20220315,TOTAL
2020,NEVADA,NV,DOUGLAS,32005,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,407,34117,20220315,TOTAL
2020,NEVADA,NV,DOUGLAS,32005,US PRESIDENT,OTHER,OTHER,517,34117,20220315,TOTAL
2020,NEVADA,NV,DOUGLAS,32005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,21623,34117,20220315,TOTAL
2020,NEVADA,NV,ELKO,32007,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4555,21957,20220315,TOTAL
2020,NEVADA,NV,ELKO,32007,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,374,21957,20220315,TOTAL
2020,NEVADA,NV,ELKO,32007,US PRESIDENT,OTHER,OTHER,294,21957,20220315,TOTAL
2020,NEVADA,NV,ELKO,32007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16734,21957,20220315,TOTAL
2020,NEVADA,NV,ESMERALDA,32009,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,72,480,20220315,TOTAL
2020,NEVADA,NV,ESMERALDA,32009,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,6,480,20220315,TOTAL
2020,NEVADA,NV,ESMERALDA,32009,US PRESIDENT,OTHER,OTHER,7,480,20220315,TOTAL
2020,NEVADA,NV,ESMERALDA,32009,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,395,480,20220315,TOTAL
2020,NEVADA,NV,EUREKA,32011,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,104,1008,20220315,TOTAL
2020,NEVADA,NV,EUREKA,32011,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,6,1008,20220315,TOTAL
2020,NEVADA,NV,EUREKA,32011,US PRESIDENT,OTHER,OTHER,11,1008,20220315,TOTAL
2020,NEVADA,NV,EUREKA,32011,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,887,1008,20220315,TOTAL
2020,NEVADA,NV,HUMBOLDT,32013,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1689,7771,20220315,TOTAL
2020,NEVADA,NV,HUMBOLDT,32013,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,104,7771,20220315,TOTAL
2020,NEVADA,NV,HUMBOLDT,32013,US PRESIDENT,OTHER,OTHER,101,7771,20220315,TOTAL
2020,NEVADA,NV,HUMBOLDT,32013,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5877,7771,20220315,TOTAL
2020,NEVADA,NV,LANDER,32015,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,496,2765,20220315,TOTAL
2020,NEVADA,NV,LANDER,32015,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,36,2765,20220315,TOTAL
2020,NEVADA,NV,LANDER,32015,US PRESIDENT,OTHER,OTHER,35,2765,20220315,TOTAL
2020,NEVADA,NV,LANDER,32015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2198,2765,20220315,TOTAL
2020,NEVADA,NV,LINCOLN,32017,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,330,2446,20220315,TOTAL
2020,NEVADA,NV,LINCOLN,32017,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,17,2446,20220315,TOTAL
2020,NEVADA,NV,LINCOLN,32017,US PRESIDENT,OTHER,OTHER,32,2446,20220315,TOTAL
2020,NEVADA,NV,LINCOLN,32017,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2067,2446,20220315,TOTAL
2020,NEVADA,NV,LYON,32019,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8472,30229,20220315,TOTAL
2020,NEVADA,NV,LYON,32019,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,461,30229,20220315,TOTAL
2020,NEVADA,NV,LYON,32019,US PRESIDENT,OTHER,OTHER,390,30229,20220315,TOTAL
2020,NEVADA,NV,LYON,32019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,20906,30229,20220315,TOTAL
2020,NEVADA,NV,MINERAL,32021,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,824,2327,20220315,TOTAL
2020,NEVADA,NV,MINERAL,32021,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,35,2327,20220315,TOTAL
2020,NEVADA,NV,MINERAL,32021,US PRESIDENT,OTHER,OTHER,48,2327,20220315,TOTAL
2020,NEVADA,NV,MINERAL,32021,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1420,2327,20220315,TOTAL
2020,NEVADA,NV,NYE,32023,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7287,25376,20220315,TOTAL
2020,NEVADA,NV,NYE,32023,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,243,25376,20220315,TOTAL
2020,NEVADA,NV,NYE,32023,US PRESIDENT,OTHER,OTHER,319,25376,20220315,TOTAL
2020,NEVADA,NV,NYE,32023,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,17527,25376,20220315,TOTAL
