year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,GEORGIA,GA,BLECKLEY,13023,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2436,3749,20220315,TOTAL
2000,GEORGIA,GA,BLECKLEY,13023,US PRESIDENT,RALPH NADER,GREEN,1,3749,20220315,TOTAL
2000,GEORGIA,GA,BLECKLEY,13023,US PRESIDENT,OTHER,OTHER,39,3749,20220315,TOTAL
2000,GEORGIA,GA,BRANTLEY,13025,US PRESIDENT,AL GORE,DEMOCRAT,1372,4566,20220315,TOTAL
2000,GEORGIA,GA,BRANTLEY,13025,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3118,4566,20220315,TOTAL
2000,GEORGIA,GA,BRANTLEY,13025,US PRESIDENT,RALPH NADER,GREEN,5,4566,20220315,TOTAL
2000,GEORGIA,GA,BRANTLEY,13025,US PRESIDENT,OTHER,OTHER,71,4566,20220315,TOTAL
2000,GEORGIA,GA,BROOKS,13027,US PRESIDENT,AL GORE,DEMOCRAT,2096,4551,20220315,TOTAL
2000,GEORGIA,GA,BROOKS,13027,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2406,4551,20220315,TOTAL
2000,GEORGIA,GA,BROOKS,13027,US PRESIDENT,RALPH NADER,GREEN,12,4551,20220315,TOTAL
2000,GEORGIA,GA,BROOKS,13027,US PRESIDENT,OTHER,OTHER,37,4551,20220315,TOTAL
2000,GEORGIA,GA,BRYAN,13029,US PRESIDENT,AL GORE,DEMOCRAT,2172,7059,20220315,TOTAL
2000,GEORGIA,GA,BRYAN,13029,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4835,7059,20220315,TOTAL
2000,GEORGIA,GA,BRYAN,13029,US PRESIDENT,RALPH NADER,GREEN,0,7059,20220315,TOTAL
2000,GEORGIA,GA,BRYAN,13029,US PRESIDENT,OTHER,OTHER,52,7059,20220315,TOTAL
2000,GEORGIA,GA,BULLOCH,13031,US PRESIDENT,AL GORE,DEMOCRAT,5561,14782,20220315,TOTAL
2000,GEORGIA,GA,BULLOCH,13031,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8990,14782,20220315,TOTAL
2000,GEORGIA,GA,BULLOCH,13031,US PRESIDENT,RALPH NADER,GREEN,137,14782,20220315,TOTAL
2000,GEORGIA,GA,BULLOCH,13031,US PRESIDENT,OTHER,OTHER,94,14782,20220315,TOTAL
2000,GEORGIA,GA,BURKE,13033,US PRESIDENT,AL GORE,DEMOCRAT,3720,7135,20220315,TOTAL
2000,GEORGIA,GA,BURKE,13033,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3381,7135,20220315,TOTAL
2000,GEORGIA,GA,BURKE,13033,US PRESIDENT,RALPH NADER,GREEN,7,7135,20220315,TOTAL
2000,GEORGIA,GA,BURKE,13033,US PRESIDENT,OTHER,OTHER,27,7135,20220315,TOTAL
2000,GEORGIA,GA,BUTTS,13035,US PRESIDENT,AL GORE,DEMOCRAT,2281,5635,20220315,TOTAL
2000,GEORGIA,GA,BUTTS,13035,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3198,5635,20220315,TOTAL
2000,GEORGIA,GA,BUTTS,13035,US PRESIDENT,RALPH NADER,GREEN,8,5635,20220315,TOTAL
2000,GEORGIA,GA,BUTTS,13035,US PRESIDENT,OTHER,OTHER,148,5635,20220315,TOTAL
2000,GEORGIA,GA,CALHOUN,13037,US PRESIDENT,AL GORE,DEMOCRAT,1107,1887,20220315,TOTAL
2000,GEORGIA,GA,CALHOUN,13037,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,768,1887,20220315,TOTAL
2000,GEORGIA,GA,CALHOUN,13037,US PRESIDENT,RALPH NADER,GREEN,0,1887,20220315,TOTAL
2000,GEORGIA,GA,CALHOUN,13037,US PRESIDENT,OTHER,OTHER,12,1887,20220315,TOTAL
2000,GEORGIA,GA,CAMDEN,13039,US PRESIDENT,AL GORE,DEMOCRAT,3636,10119,20220315,TOTAL
2000,GEORGIA,GA,CAMDEN,13039,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6371,10119,20220315,TOTAL
2000,GEORGIA,GA,CAMDEN,13039,US PRESIDENT,RALPH NADER,GREEN,10,10119,20220315,TOTAL
2000,GEORGIA,GA,CAMDEN,13039,US PRESIDENT,OTHER,OTHER,102,10119,20220315,TOTAL
2000,GEORGIA,GA,CANDLER,13043,US PRESIDENT,AL GORE,DEMOCRAT,1053,2722,20220315,TOTAL
2000,GEORGIA,GA,CANDLER,13043,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1643,2722,20220315,TOTAL
2000,GEORGIA,GA,CANDLER,13043,US PRESIDENT,RALPH NADER,GREEN,0,2722,20220315,TOTAL
2000,GEORGIA,GA,CANDLER,13043,US PRESIDENT,OTHER,OTHER,26,2722,20220315,TOTAL
2000,GEORGIA,GA,CARROLL,13045,US PRESIDENT,AL GORE,DEMOCRAT,8752,25741,20220315,TOTAL
2000,GEORGIA,GA,CARROLL,13045,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,16326,25741,20220315,TOTAL
2000,GEORGIA,GA,CARROLL,13045,US PRESIDENT,RALPH NADER,GREEN,157,25741,20220315,TOTAL
2000,GEORGIA,GA,CARROLL,13045,US PRESIDENT,OTHER,OTHER,506,25741,20220315,TOTAL
2000,GEORGIA,GA,CATOOSA,13047,US PRESIDENT,AL GORE,DEMOCRAT,5470,17721,20220315,TOTAL
2000,GEORGIA,GA,CATOOSA,13047,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12033,17721,20220315,TOTAL
2000,GEORGIA,GA,CATOOSA,13047,US PRESIDENT,RALPH NADER,GREEN,66,17721,20220315,TOTAL
2000,GEORGIA,GA,CATOOSA,13047,US PRESIDENT,OTHER,OTHER,152,17721,20220315,TOTAL
2000,GEORGIA,GA,CHARLTON,13049,US PRESIDENT,AL GORE,DEMOCRAT,1015,2816,20220315,TOTAL
2000,GEORGIA,GA,CHARLTON,13049,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1770,2816,20220315,TOTAL
2000,GEORGIA,GA,CHARLTON,13049,US PRESIDENT,RALPH NADER,GREEN,5,2816,20220315,TOTAL
2000,GEORGIA,GA,CHARLTON,13049,US PRESIDENT,OTHER,OTHER,26,2816,20220315,TOTAL
2000,GEORGIA,GA,CHATHAM,13051,US PRESIDENT,AL GORE,DEMOCRAT,37590,76475,20220315,TOTAL
2000,GEORGIA,GA,CHATHAM,13051,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,37847,76475,20220315,TOTAL
2000,GEORGIA,GA,CHATHAM,13051,US PRESIDENT,RALPH NADER,GREEN,596,76475,20220315,TOTAL
2000,GEORGIA,GA,CHATHAM,13051,US PRESIDENT,OTHER,OTHER,442,76475,20220315,TOTAL
2000,GEORGIA,GA,CHATTAHOOCHEE,13053,US PRESIDENT,AL GORE,DEMOCRAT,600,1207,20220315,TOTAL
2000,GEORGIA,GA,CHATTAHOOCHEE,13053,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,590,1207,20220315,TOTAL
2000,GEORGIA,GA,CHATTAHOOCHEE,13053,US PRESIDENT,RALPH NADER,GREEN,4,1207,20220315,TOTAL
2000,GEORGIA,GA,CHATTAHOOCHEE,13053,US PRESIDENT,OTHER,OTHER,13,1207,20220315,TOTAL
2000,GEORGIA,GA,CHATTOOGA,13055,US PRESIDENT,AL GORE,DEMOCRAT,2729,6477,20220315,TOTAL
2000,GEORGIA,GA,CHATTOOGA,13055,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3640,6477,20220315,TOTAL
2000,GEORGIA,GA,CHATTOOGA,13055,US PRESIDENT,RALPH NADER,GREEN,5,6477,20220315,TOTAL
2000,GEORGIA,GA,CHATTOOGA,13055,US PRESIDENT,OTHER,OTHER,103,6477,20220315,TOTAL
2000,GEORGIA,GA,CHEROKEE,13057,US PRESIDENT,AL GORE,DEMOCRAT,12295,52348,20220315,TOTAL
2000,GEORGIA,GA,CHEROKEE,13057,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,38033,52348,20220315,TOTAL
2000,GEORGIA,GA,CHEROKEE,13057,US PRESIDENT,RALPH NADER,GREEN,306,52348,20220315,TOTAL
2000,GEORGIA,GA,CHEROKEE,13057,US PRESIDENT,OTHER,OTHER,1714,52348,20220315,TOTAL
2000,GEORGIA,GA,CLARKE,13059,US PRESIDENT,AL GORE,DEMOCRAT,15167,28904,20220315,TOTAL
2000,GEORGIA,GA,CLARKE,13059,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11850,28904,20220315,TOTAL
2000,GEORGIA,GA,CLARKE,13059,US PRESIDENT,RALPH NADER,GREEN,1247,28904,20220315,TOTAL
2000,GEORGIA,GA,CLARKE,13059,US PRESIDENT,OTHER,OTHER,640,28904,20220315,TOTAL
2000,GEORGIA,GA,CLAY,13061,US PRESIDENT,AL GORE,DEMOCRAT,821,1277,20220315,TOTAL
2000,GEORGIA,GA,CLAY,13061,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,448,1277,20220315,TOTAL
2000,GEORGIA,GA,CLAY,13061,US PRESIDENT,RALPH NADER,GREEN,0,1277,20220315,TOTAL
2000,GEORGIA,GA,CLAY,13061,US PRESIDENT,OTHER,OTHER,8,1277,20220315,TOTAL
2000,GEORGIA,GA,CLAYTON,13063,US PRESIDENT,AL GORE,DEMOCRAT,40042,61402,20220315,TOTAL
2000,GEORGIA,GA,CLAYTON,13063,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19966,61402,20220315,TOTAL
2000,GEORGIA,GA,CLAYTON,13063,US PRESIDENT,RALPH NADER,GREEN,176,61402,20220315,TOTAL
2000,GEORGIA,GA,CLAYTON,13063,US PRESIDENT,OTHER,OTHER,1218,61402,20220315,TOTAL
2000,GEORGIA,GA,CLINCH,13065,US PRESIDENT,AL GORE,DEMOCRAT,816,1929,20220315,TOTAL
2000,GEORGIA,GA,CLINCH,13065,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1091,1929,20220315,TOTAL
2000,GEORGIA,GA,CLINCH,13065,US PRESIDENT,RALPH NADER,GREEN,0,1929,20220315,TOTAL
2000,GEORGIA,GA,CLINCH,13065,US PRESIDENT,OTHER,OTHER,22,1929,20220315,TOTAL
2000,GEORGIA,GA,COBB,13067,US PRESIDENT,AL GORE,DEMOCRAT,86676,235027,20220315,TOTAL
2000,GEORGIA,GA,COBB,13067,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,140494,235027,20220315,TOTAL
2000,GEORGIA,GA,COBB,13067,US PRESIDENT,RALPH NADER,GREEN,2134,235027,20220315,TOTAL
2000,GEORGIA,GA,COBB,13067,US PRESIDENT,OTHER,OTHER,5723,235027,20220315,TOTAL
2000,GEORGIA,GA,COFFEE,13069,US PRESIDENT,AL GORE,DEMOCRAT,3593,9430,20220315,TOTAL
2000,GEORGIA,GA,COFFEE,13069,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5756,9430,20220315,TOTAL
2000,GEORGIA,GA,COFFEE,13069,US PRESIDENT,RALPH NADER,GREEN,8,9430,20220315,TOTAL
2000,GEORGIA,GA,COFFEE,13069,US PRESIDENT,OTHER,OTHER,73,9430,20220315,TOTAL
2000,GEORGIA,GA,COLQUITT,13071,US PRESIDENT,AL GORE,DEMOCRAT,3297,9972,20220315,TOTAL
2000,GEORGIA,GA,COLQUITT,13071,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6589,9972,20220315,TOTAL
2000,GEORGIA,GA,COLQUITT,13071,US PRESIDENT,RALPH NADER,GREEN,5,9972,20220315,TOTAL
2000,GEORGIA,GA,COLQUITT,13071,US PRESIDENT,OTHER,OTHER,81,9972,20220315,TOTAL
2000,GEORGIA,GA,COLUMBIA,13073,US PRESIDENT,AL GORE,DEMOCRAT,8969,36008,20220315,TOTAL
2000,GEORGIA,GA,COLUMBIA,13073,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,26660,36008,20220315,TOTAL
2000,GEORGIA,GA,COLUMBIA,13073,US PRESIDENT,RALPH NADER,GREEN,122,36008,20220315,TOTAL
2000,GEORGIA,GA,COLUMBIA,13073,US PRESIDENT,OTHER,OTHER,257,36008,20220315,TOTAL
2000,GEORGIA,GA,COOK,13075,US PRESIDENT,AL GORE,DEMOCRAT,1639,3944,20220315,TOTAL
2000,GEORGIA,GA,COOK,13075,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2279,3944,20220315,TOTAL
2000,GEORGIA,GA,COOK,13075,US PRESIDENT,RALPH NADER,GREEN,3,3944,20220315,TOTAL
2000,GEORGIA,GA,COOK,13075,US PRESIDENT,OTHER,OTHER,23,3944,20220315,TOTAL
2000,GEORGIA,GA,COWETA,13077,US PRESIDENT,AL GORE,DEMOCRAT,9056,31226,20220315,TOTAL
2000,GEORGIA,GA,COWETA,13077,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,21327,31226,20220315,TOTAL
2000,GEORGIA,GA,COWETA,13077,US PRESIDENT,RALPH NADER,GREEN,133,31226,20220315,TOTAL
2000,GEORGIA,GA,COWETA,13077,US PRESIDENT,OTHER,OTHER,710,31226,20220315,TOTAL
2000,GEORGIA,GA,CRAWFORD,13079,US PRESIDENT,AL GORE,DEMOCRAT,1513,3567,20220315,TOTAL
2000,GEORGIA,GA,CRAWFORD,13079,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1987,3567,20220315,TOTAL
2000,GEORGIA,GA,CRAWFORD,13079,US PRESIDENT,RALPH NADER,GREEN,5,3567,20220315,TOTAL
2000,GEORGIA,GA,CRAWFORD,13079,US PRESIDENT,OTHER,OTHER,62,3567,20220315,TOTAL
2000,GEORGIA,GA,CRISP,13081,US PRESIDENT,AL GORE,DEMOCRAT,2268,5609,20220315,TOTAL
2000,GEORGIA,GA,CRISP,13081,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3285,5609,20220315,TOTAL
2000,GEORGIA,GA,CRISP,13081,US PRESIDENT,RALPH NADER,GREEN,1,5609,20220315,TOTAL
2000,GEORGIA,GA,CRISP,13081,US PRESIDENT,OTHER,OTHER,55,5609,20220315,TOTAL
2000,GEORGIA,GA,DADE,13083,US PRESIDENT,AL GORE,DEMOCRAT,1628,5049,20220315,TOTAL
2000,GEORGIA,GA,DADE,13083,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3333,5049,20220315,TOTAL
2000,GEORGIA,GA,DADE,13083,US PRESIDENT,RALPH NADER,GREEN,13,5049,20220315,TOTAL
2000,GEORGIA,GA,DADE,13083,US PRESIDENT,OTHER,OTHER,75,5049,20220315,TOTAL
2000,GEORGIA,GA,DAWSON,13085,US PRESIDENT,AL GORE,DEMOCRAT,1458,5898,20220315,TOTAL
2000,GEORGIA,GA,DAWSON,13085,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4210,5898,20220315,TOTAL
2000,GEORGIA,GA,DAWSON,13085,US PRESIDENT,RALPH NADER,GREEN,28,5898,20220315,TOTAL
2000,GEORGIA,GA,DAWSON,13085,US PRESIDENT,OTHER,OTHER,202,5898,20220315,TOTAL
2000,GEORGIA,GA,DECATUR,13087,US PRESIDENT,AL GORE,DEMOCRAT,3398,7648,20220315,TOTAL
2000,GEORGIA,GA,DECATUR,13087,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4187,7648,20220315,TOTAL
2000,GEORGIA,GA,DECATUR,13087,US PRESIDENT,RALPH NADER,GREEN,13,7648,20220315,TOTAL
2000,GEORGIA,GA,DECATUR,13087,US PRESIDENT,OTHER,OTHER,50,7648,20220315,TOTAL
2000,GEORGIA,GA,DEKALB,13089,US PRESIDENT,AL GORE,DEMOCRAT,154509,219980,20220315,TOTAL
2000,GEORGIA,GA,DEKALB,13089,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,58807,219980,20220315,TOTAL
2000,GEORGIA,GA,DEKALB,13089,US PRESIDENT,RALPH NADER,GREEN,1930,219980,20220315,TOTAL
2000,GEORGIA,GA,DEKALB,13089,US PRESIDENT,OTHER,OTHER,4734,219980,20220315,TOTAL
2000,GEORGIA,GA,DODGE,13091,US PRESIDENT,AL GORE,DEMOCRAT,2326,5877,20220315,TOTAL
2000,GEORGIA,GA,DODGE,13091,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3472,5877,20220315,TOTAL
2000,GEORGIA,GA,DODGE,13091,US PRESIDENT,RALPH NADER,GREEN,1,5877,20220315,TOTAL
2000,GEORGIA,GA,DODGE,13091,US PRESIDENT,OTHER,OTHER,78,5877,20220315,TOTAL
2000,GEORGIA,GA,DOOLY,13093,US PRESIDENT,AL GORE,DEMOCRAT,1901,3520,20220315,TOTAL
2000,GEORGIA,GA,DOOLY,13093,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1588,3520,20220315,TOTAL
2000,GEORGIA,GA,DOOLY,13093,US PRESIDENT,RALPH NADER,GREEN,0,3520,20220315,TOTAL
2000,GEORGIA,GA,DOOLY,13093,US PRESIDENT,OTHER,OTHER,31,3520,20220315,TOTAL
2000,GEORGIA,GA,DOUGHERTY,13095,US PRESIDENT,AL GORE,DEMOCRAT,16650,29064,20220315,TOTAL
2000,GEORGIA,GA,DOUGHERTY,13095,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12248,29064,20220315,TOTAL
2000,GEORGIA,GA,DOUGHERTY,13095,US PRESIDENT,RALPH NADER,GREEN,68,29064,20220315,TOTAL
2000,GEORGIA,GA,DOUGHERTY,13095,US PRESIDENT,OTHER,OTHER,98,29064,20220315,TOTAL
2000,GEORGIA,GA,DOUGLAS,13097,US PRESIDENT,AL GORE,DEMOCRAT,11162,30964,20220315,TOTAL
2000,GEORGIA,GA,DOUGLAS,13097,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18893,30964,20220315,TOTAL
2000,GEORGIA,GA,DOUGLAS,13097,US PRESIDENT,RALPH NADER,GREEN,162,30964,20220315,TOTAL
2000,GEORGIA,GA,DOUGLAS,13097,US PRESIDENT,OTHER,OTHER,747,30964,20220315,TOTAL
2000,GEORGIA,GA,EARLY,13099,US PRESIDENT,AL GORE,DEMOCRAT,1622,3585,20220315,TOTAL
2000,GEORGIA,GA,EARLY,13099,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1938,3585,20220315,TOTAL
2000,GEORGIA,GA,EARLY,13099,US PRESIDENT,RALPH NADER,GREEN,4,3585,20220315,TOTAL
2000,GEORGIA,GA,EARLY,13099,US PRESIDENT,OTHER,OTHER,21,3585,20220315,TOTAL
2000,GEORGIA,GA,ECHOLS,13101,US PRESIDENT,AL GORE,DEMOCRAT,272,898,20220315,TOTAL
2000,GEORGIA,GA,ECHOLS,13101,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,614,898,20220315,TOTAL
2000,GEORGIA,GA,ECHOLS,13101,US PRESIDENT,RALPH NADER,GREEN,0,898,20220315,TOTAL
2000,GEORGIA,GA,ECHOLS,13101,US PRESIDENT,OTHER,OTHER,12,898,20220315,TOTAL
2000,GEORGIA,GA,EFFINGHAM,13103,US PRESIDENT,AL GORE,DEMOCRAT,3232,10650,20220315,TOTAL
2000,GEORGIA,GA,EFFINGHAM,13103,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7326,10650,20220315,TOTAL
2000,GEORGIA,GA,EFFINGHAM,13103,US PRESIDENT,RALPH NADER,GREEN,13,10650,20220315,TOTAL
2000,GEORGIA,GA,EFFINGHAM,13103,US PRESIDENT,OTHER,OTHER,79,10650,20220315,TOTAL
2000,GEORGIA,GA,ELBERT,13105,US PRESIDENT,AL GORE,DEMOCRAT,2527,5853,20220315,TOTAL
2000,GEORGIA,GA,ELBERT,13105,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3262,5853,20220315,TOTAL
2000,GEORGIA,GA,ELBERT,13105,US PRESIDENT,RALPH NADER,GREEN,14,5853,20220315,TOTAL
